%Number_of_operations  clmin  MClmax Cl_Average_Concentration_min Cl_TE_max  Cl_Vcn_max CTHMsmax   MTHMsmax  THMs_Average_Concentration_max  THMs_TE_max  THMs_Vcn_max 
0 0.0323525 7053.98 0.0367134 1440 1 40.1441 645749 39.9479 1440 1
3 0.0536348 6180.25 0.0569386 1440 1 39.1864 606431 39.0378 1440 1
3 0.0523007 6134.6 0.0579955 1440 1 39.2465 604377 38.9902 1440 1
4 0.080857 4928.19 0.0859215 1440 1 37.9614 550088 37.7335 1440 1
4 0.0783006 5037.31 0.0833956 1440 1 38.0765 554999 37.8472 1440 1
3 0.0711928 5361.63 0.075888 1440 1 38.3963 569594 38.185 1440 1
2 0.0658401 5579.26 0.0708505 1440 1 38.6372 579387 38.4117 1440 1
7 0.139597 2432.66 0.143688 1440 1 35.3181 437789 35.134 1440 1
3 0.112213 3648.01 0.115555 1440 1 36.5504 492481 36.4 1440 1
6 0.0570417 5996.8 0.0611853 1440 1 39.0331 598176 38.8467 1440 1
3 0.0662511 5561.53 0.071261 1440 1 38.6187 578589 38.3933 1440 1
5 0.0518238 6265.84 0.0549573 1440 1 39.2679 610283 39.1269 1440 1
6 0.131225 2835.04 0.134374 1440 1 35.6949 455897 35.5531 1440 1
4 0.0645879 5698.87 0.0680816 1440 1 38.6935 584770 38.5363 1440 1
6 0.131914 2714.96 0.137154 1440 1 35.6639 450493 35.4281 1440 1
1 0.0435633 6558.15 0.0481911 1440 1 39.6396 623436 39.4314 1440 1
2 0.0882462 4601.07 0.0934937 1440 1 37.6289 535368 37.3928 1440 1
4 0.0561727 6017.67 0.0607021 1440 1 39.0722 599115 38.8684 1440 1
7 0.0895107 4651.26 0.0923319 1440 1 37.572 537627 37.4451 1440 1
5 0.119702 3327.62 0.122972 1440 1 36.2134 478063 36.0663 1440 1
6 0.0915043 4412.14 0.0978671 1440 1 37.4823 526866 37.196 1440 1
3 0.0556218 6052.9 0.0598866 1440 1 39.097 600700 38.9051 1440 1
6 0.0767691 5177.24 0.0801565 1440 1 38.1454 561296 37.993 1440 1
3 0.079019 4983.16 0.084649 1440 1 38.0441 552562 37.7908 1440 1
3 0.118612 3272.41 0.12425 1440 1 36.2625 475578 36.0088 1440 1
